,diagrp,Cause,SOdm,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
9073,52,Non-Hodgkin's lymphoma,24,Literary and Artistic Occupations,58,59.3722,97.68882,74.17916,126.2854,47.73227,121.5111,92.26839,157.0811
28912,162,Urinary infections,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",13,13.30788,97.68646,52.01428,167.0469,14.27464,91.07057,48.49158,155.7335
28244,159,Pancreatitis,9,Other Administrators,53,54.25906,97.67954,73.16862,127.7672,48.03954,110.3258,82.6415,144.3088
16297,93,Pulmonary embolism and phlebitis,8,Government administrators,22,22.52465,97.67076,61.20982,147.8749,23.32366,94.32483,59.11294,142.8091
41124,999,Unspecified Group,38,Production and maintenance managers,966,989.07,97.66751,91.60504,104.0258,995.0266,97.08282,91.05665,103.4031
16275,92,Ischaemic heart disease,184,Other motor drivers,1326,1357.789,97.65879,92.47261,103.0601,1360.37,97.47346,92.29713,102.8645
21421,121,Bronchopneumonia,64,Undertakers,9,9.215796,97.65842,44.65594,185.386,10.57166,85.13331,38.92862,161.6095
6880,39,Cancer of the prostate,3,Personnel Managers etc,96,98.30971,97.65058,79.09727,119.248,78.9549,121.5884,98.48698,148.4802
18463,105,Other cerebrovascular disease,2,Accountants and Financial Managers,397,406.6569,97.62531,88.25668,107.7173,408.8563,97.10013,87.78191,107.1379
46,1,Intestinal infectious diseases,47,Farmers,7,7.171597,97.60727,39.2437,201.1086,6.608768,105.9199,42.58585,218.2358
18545,105,Other cerebrovascular disease,84,Ceramics casters,133,136.2796,97.59349,81.7047,115.6631,139.1054,95.61094,80.04493,113.3135
21395,121,Bronchopneumonia,38,Production and maintenance managers,292,299.2004,97.59345,86.71819,109.4542,359.9436,81.12383,72.08385,90.98301
9420,54,Myeloma,9,Other Administrators,188,192.6536,97.58447,84.12922,112.5765,156.7314,119.9504,103.4113,138.3786
14933,85,Motor neuron disease,97,Printers,12,12.29711,97.58393,50.42324,170.4596,13.48749,88.97133,45.97297,155.4151
21932,124,Chronic bronchitis and emphysema,32,Laboratory Technicians,78,79.93412,97.58036,77.13327,121.7847,112.53,69.31485,54.79054,86.50804
14735,84,Parkinson's disease,75,Chemical workers,20,20.4978,97.57146,59.59908,150.6913,23.34013,85.68932,52.34118,132.3403
8172,46,Cancer of the brain,28,Physical Scientists & mathematicians,11,11.27411,97.56868,48.70629,174.577,6.088239,180.6762,90.19357,323.279
3274,19,Cancer of the pancreas,17,Nurses,24,24.60114,97.55645,62.50645,145.1563,20.48593,117.1536,75.06274,174.3152
9149,52,Non-Hodgkin's lymphoma,105,Cabinet Makers,9,9.226751,97.54246,44.60292,185.1659,10.00622,89.94408,41.12843,170.7419
2293,13,Cancer of the stomach,129,"Tool Makers, Tool Fitters & Markers-Out",104,106.6344,97.52946,79.67526,118.1796,99.44402,104.5815,85.43629,126.7248
7906,44,Cancer of the kidney (except pelvis),132,Production fitters,153,156.895,97.51745,82.67149,114.2546,169.1086,90.47442,76.70068,106.0028
14675,84,Parkinson's disease,15,Doctors,12,12.30561,97.51654,50.38842,170.3419,8.036252,149.3233,77.15786,260.838
2586,15,Cancer of the colon,53,Office Workers and Cashiers,1032,1058.311,97.51391,91.65467,103.6495,939.9108,109.7977,103.2003,116.7062
28643,161,Renal failure,46,Caterers,12,12.3067,97.50783,50.38392,170.3267,12.0149,99.87598,51.60758,174.4633
16242,92,Ischaemic heart disease,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",2339,2399.131,97.49362,93.58222,101.5264,2404.022,97.29529,93.39185,101.3198
7028,39,Cancer of the prostate,168,Roofers and Glaziers,38,38.97734,97.49255,68.99163,133.8162,46.51172,81.69984,57.81575,112.1395
16433,93,Pulmonary embolism and phlebitis,160,Painters & Decorators,99,101.5538,97.48524,79.23118,118.6847,107.2052,92.34624,75.05445,112.4282
2185,13,Cancer of the stomach,14,Clergy,25,25.64493,97.48518,63.08734,143.9072,32.77407,76.27981,49.36432,112.6039
14709,84,Parkinson's disease,49,Police,20,20.51609,97.48445,59.54594,150.5569,17.76645,112.5718,68.76164,173.8581
2610,15,Cancer of the colon,77,Brewery & vinery process operatives,20,20.5195,97.46825,59.53604,150.5319,21.57591,92.69598,56.62102,143.1615
24683,139,Fibrosing alveolitis,68,Leather & shoe workers,6,6.155891,97.46761,35.76899,212.1464,6.411245,93.58557,34.34435,203.6968
41182,999,Unspecified Group,101,Upholsterers,65,66.69009,97.46575,75.22197,124.2281,66.68343,97.47549,75.22948,124.2405
4331,24,Cancer of the bronchus,186,Mechanical Plant Drivers & Operatives (earth moving & civil,212,217.5143,97.46484,84.78272,111.5065,200.263,105.8608,92.0862,121.112
2569,15,Cancer of the colon,36,Seafarers,92,94.39622,97.46153,78.56776,119.5279,96.61241,95.22586,76.7655,116.786
18581,105,Other cerebrovascular disease,127,Fettler,29,29.76027,97.44536,65.26084,139.9477,29.72102,97.57403,65.34701,140.1325
9202,52,Non-Hodgkin's lymphoma,170,Rail Construction & Maintenance Workers,7,7.184124,97.43707,39.17527,200.7579,8.273539,84.60708,34.01688,174.3232
2323,13,Cancer of the stomach,169,"Builders, Building Contractors",197,202.2222,97.41761,84.28473,112.0139,189.6148,103.8948,89.88875,119.4616
2668,15,Cancer of the colon,145,Sheet Metal Workers,66,67.75334,97.41218,75.33858,123.9322,71.36879,92.4774,71.52202,117.654
2275,13,Cancer of the stomach,109,Other Woodworkers,8,8.212759,97.40941,42.05408,191.9355,7.682849,104.128,44.95467,205.1739
6999,39,Cancer of the prostate,129,"Tool Makers, Tool Fitters & Markers-Out",150,153.9932,97.40691,82.43625,114.3049,160.3372,93.55283,79.17451,109.7822
18794,106,Aortic aneurysm,169,"Builders, Building Contractors",250,256.6886,97.39429,85.6925,110.2463,251.1533,99.54081,87.58112,112.6761
21415,121,Bronchopneumonia,58,Security Workers,316,324.4684,97.39006,86.94596,108.7423,306.6951,103.0339,91.98457,115.0441
16147,92,Ischaemic heart disease,39,Managers in Construction,970,996.1013,97.37965,91.34733,103.7057,969.6306,100.0381,93.84109,106.5369
9960,57,Chronic lymphatic leukaemia,6,Sales Managers etc.,20,20.53937,97.37395,59.47845,150.3863,16.71767,119.6339,73.07539,184.765
16420,93,Pulmonary embolism and phlebitis,141,"Radio, TV & Video Engineers",8,8.216977,97.35941,42.03249,191.837,8.668394,92.2893,39.8436,181.8468
14850,85,Motor neuron disease,9,Other Administrators,121,124.2875,97.35495,80.77258,116.3314,89.73365,134.8435,111.8758,161.1273
4133,23,Cancer of the larynx,169,"Builders, Building Contractors",27,27.73692,97.34319,64.14989,141.6293,27.25134,99.07771,65.29294,144.1529
9403,53,Hodgkin's disease,190,Storekeepers & warehousemen/women,8,8.218603,97.34015,42.02418,191.799,8.843486,90.46206,39.05473,178.2464
6886,39,Cancer of the prostate,9,Other Administrators,1205,1237.969,97.33681,91.91805,102.9916,994.9783,121.1082,114.3661,128.144
7961,44,Cancer of the kidney (except pelvis),197,Other Transport and Machine Operatives,40,41.09625,97.33247,69.53578,132.5391,45.40002,88.10568,62.94402,119.9748
18568,105,Other cerebrovascular disease,113,Rollers,11,11.30365,97.3137,48.579,174.1207,11.53952,95.32462,47.58605,170.5617
3295,19,Cancer of the pancreas,38,Production and maintenance managers,204,209.6568,97.30189,84.40369,111.6111,175.6822,116.1187,100.7262,133.1951
22122,125,Asthma,41,General and office managers,14,14.38871,97.29853,53.1938,163.2503,16.17924,86.53066,47.30693,145.1836
9222,52,Non-Hodgkin's lymphoma,190,Storekeepers & warehousemen/women,125,128.4781,97.29287,80.97639,115.9244,148.9823,83.9026,69.83173,99.96991
28865,162,Urinary infections,88,Other coal miners,32,32.89371,97.28304,66.5416,137.3348,33.19139,96.41055,65.94482,136.1031
4307,24,Cancer of the bronchus,161,Assemblers/Lineworkers (electrical/electronic goods),124,127.4642,97.2822,80.90481,115.9933,117.3127,105.7004,87.90582,126.0306
18572,105,Other cerebrovascular disease,117,Electroplater,32,32.89421,97.28156,66.54058,137.3327,33.58836,95.27109,65.16542,134.4945
27779,156,Cirrhosis (not specified as biliary),88,Other coal miners,42,43.18116,97.26464,70.09978,131.4735,48.9186,85.85691,61.8781,116.0536
9826,56,Acute lymphatic leukaemia,53,Office Workers and Cashiers,11,11.31029,97.25659,48.55049,174.0186,10.09589,108.9553,54.39047,194.9507
19091,108,Peripheral valve disease,88,Other coal miners,119,122.3569,97.25648,80.55864,116.3867,110.7176,107.4806,89.02742,128.6219
40371,226,Suicide,9,Other Administrators,92,94.61516,97.236,78.38596,119.2513,88.03606,104.5026,84.24389,128.1632
41225,999,Unspecified Group,149,Welding Trades,426,438.1104,97.23576,88.21996,106.9227,438.0779,97.24298,88.22651,106.9306
25234,142,Duodenal ulcer,76,Bakers,9,9.255958,97.23466,44.46217,184.5816,9.814535,91.70072,41.93168,174.0765
2294,13,Cancer of the stomach,130,Precision Instrument Makers & Repairers,44,45.25237,97.23248,70.64935,130.53,42.2839,104.0585,75.60916,139.6936
8176,46,Cancer of the brain,32,Laboratory Technicians,15,15.42864,97.22176,54.41438,160.3524,11.06431,135.571,75.8782,223.6036
6957,39,Cancer of the prostate,80,Bookbinders,9,9.257504,97.21843,44.45475,184.5508,9.601057,93.73968,42.86403,177.9471
14818,84,Parkinson's disease,175,"Face Trained Coalmining Workers, Shotfireres & Deputies",9,9.259685,97.19553,44.44427,184.5074,10.6518,84.4928,38.63574,160.3936
9057,52,Non-Hodgkin's lymphoma,8,Government administrators,27,27.78216,97.18466,64.04541,141.3986,20.87387,129.3483,85.2415,188.1951
2131,12,Cancer of oesophagus,153,Coach & Vehicle Body Builders,14,14.4056,97.18443,53.13142,163.0588,13.94583,100.3884,54.88307,168.4346
36970,207,Fall unspecified,47,Farmers,22,22.63803,97.18162,60.90328,147.1343,23.14546,95.05102,59.56804,143.9085
25310,142,Duodenal ulcer,169,"Builders, Building Contractors",34,34.98681,97.17949,67.29965,135.7986,37.22622,91.33348,63.25112,127.6294
17775,101,Other cardiomyopathies,38,Production and maintenance managers,51,52.49175,97.15812,72.25478,127.745,45.33997,112.4835,83.65202,147.8951
16320,93,Pulmonary embolism and phlebitis,31,Draughtspersons,29,29.8559,97.13323,65.0518,139.4994,29.68218,97.70173,65.43253,140.3159
3356,19,Cancer of the pancreas,104,Carpenters & Joiners,142,146.2004,97.12695,81.802,114.4832,157.7118,90.03767,75.83129,106.1271
41202,999,Unspecified Group,123,Machine Tool Setter Operators,356,366.571,97.11624,87.28815,107.7475,369.0863,96.45441,86.69331,107.0132
41254,999,Unspecified Group,185,Bus Conductors and Drivers' Mates,74,76.2017,97.11069,76.25275,121.9135,76.95528,96.15974,75.50607,120.7197
8623,48,Cancer of the thyroid,124,Machine Tool Operatives (including CNC machine tool operati,7,7.208292,97.11038,39.04392,200.0848,8.746861,80.02871,32.17611,164.89
10460,59,Chronic myeloid leukaemia,160,Painters & Decorators,11,11.32809,97.10374,48.47419,173.7451,10.94151,100.5346,50.18686,179.8838
27248,153,Diverticular disease,104,Carpenters & Joiners,19,19.57125,97.08117,58.44899,151.6045,19.05263,99.72375,60.03999,155.7312
3285,19,Cancer of the pancreas,28,Physical Scientists & mathematicians,18,18.54398,97.06654,57.52756,153.4072,13.36292,134.7011,79.83211,212.8861
41208,999,Unspecified Group,129,"Tool Makers, Tool Fitters & Markers-Out",353,363.6949,97.05939,87.1965,107.7318,363.6518,97.07088,87.20683,107.7446
10251,58,Acute myeloid leukaemia,123,Machine Tool Setter Operators,15,15.4553,97.05407,54.32052,160.0758,16.95755,88.45616,49.50832,145.8949
15981,91,Hypertensive disease,54,"Postal Workers, Mail Sorters",46,47.39652,97.05355,71.05544,129.4559,46.81867,98.2514,71.93241,131.0537
4495,25,Cancer of the pleura,169,"Builders, Building Contractors",26,26.79141,97.04604,63.39383,142.1948,18.95308,137.1808,89.61127,201.0016
40538,226,Suicide,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",9,9.273951,97.04602,44.37591,184.2235,9.523644,94.50164,43.21245,179.3935
3256,18,Cancer of the gall bladder,198,Other Labourers,29,29.88398,97.04196,64.99068,139.3683,41.24485,70.3118,47.08903,100.9794
5125,29,Cancer of soft tissue,58,Security Workers,11,11.33656,97.03123,48.43799,173.6153,12.71219,86.53111,43.19633,154.8278
24772,139,Fibrosing alveolitis,174,Other Construction Workers,33,34.01042,97.0291,66.79042,136.265,43.43746,75.97129,52.29519,106.692
16131,92,Ischaemic heart disease,23,Driving Instructors (excluding HGV),306,315.3872,97.0236,86.45495,108.5268,299.9058,102.032,90.91782,114.1291
1989,11,Cancer of the pharynx (specified),198,Other Labourers,71,73.18384,97.01596,75.77029,122.3724,56.29639,126.1182,98.49939,159.0809
18523,105,Other cerebrovascular disease,62,Ambulance Staff,64,65.98567,96.99075,74.69469,123.8551,67.38438,94.97749,73.14425,121.2842
18216,103,Chronic and unspecified myocarditis,124,Machine Tool Operatives (including CNC machine tool operati,11,11.34136,96.9901,48.41746,173.5417,9.674624,113.6995,56.7588,203.4394
16078,91,Hypertensive disease,168,Roofers and Glaziers,8,8.248713,96.98483,41.87078,191.0989,8.08437,98.95638,42.72195,194.9837
8293,46,Cancer of the brain,165,"Bricklayers, Masons",34,35.05747,96.98361,67.164,135.5249,39.38425,86.32893,59.78532,120.636
16110,92,Ischaemic heart disease,2,Accountants and Financial Managers,1815,1871.88,96.96133,92.55142,101.527,1859.56,97.60375,93.16463,102.1996
16106,91,Hypertensive disease,197,Other Transport and Machine Operatives,35,36.09799,96.95832,67.53507,134.8455,35.8705,97.57322,67.96337,135.7007
18412,104,Sub-arachnoid haemorrhage,142,Other Electrical/Electronic Trades nes,11,11.34556,96.95421,48.39954,173.4775,11.63975,94.50376,47.17628,169.093
19012,108,Peripheral valve disease,8,Government administrators,12,12.37797,96.94646,50.09386,169.3461,15.56667,77.08779,39.83255,134.657
17566,100,Aortic valve disorders,10,Teachers in Higher Education,14,14.4412,96.94488,53.00045,162.6569,13.28084,105.415,57.63113,176.8683
5383,30,Melanoma of skin,145,Sheet Metal Workers,6,6.189259,96.94214,35.57615,211.0027,7.111284,84.37295,30.96347,183.6448
9521,54,Myeloma,116,"Moulders, Core Makers, Die Casters",7,7.222187,96.92355,38.9688,199.6999,8.111117,86.30131,34.69806,177.814
28763,161,Renal failure,183,Lorry drivers,94,96.99157,96.91563,78.31773,118.6002,100.0039,93.99635,75.95866,115.0277
25333,142,Duodenal ulcer,192,Refuse & Salvage Collectors,10,10.31859,96.91244,46.47339,178.2259,8.52197,117.3438,56.27103,215.7999
14170,81,Bacterial and unspecified meningitis,53,Office Workers and Cashiers,11,11.35207,96.89861,48.37179,173.3781,12.60053,87.29793,43.57913,156.1998
41237,999,Unspecified Group,168,Roofers and Glaziers,103,106.3005,96.8951,79.07539,117.5199,108.034,95.34039,77.8066,115.6343
24645,139,Fibrosing alveolitis,30,Other Professional Engineers,44,45.41007,96.89481,70.40398,130.0766,34.30234,128.2711,93.20209,172.1979
16455,93,Pulmonary embolism and phlebitis,183,Lorry drivers,243,250.7969,96.89116,85.08866,109.8713,264.903,91.73169,80.55768,104.0206
5059,28,Cancer of bone,190,Storekeepers & warehousemen/women,6,6.192877,96.88551,35.55537,210.8794,5.796062,103.5186,37.98959,225.3168
5415,30,Melanoma of skin,184,Other motor drivers,9,9.29072,96.87085,44.29581,183.891,10.63942,84.59109,38.68069,160.5802
41159,999,Unspecified Group,73,"Warp Preparers, Bleachers, dyers & finishers",60,61.94389,96.86185,73.91577,124.6804,61.93739,96.87202,73.92353,124.6935
7032,39,Cancer of the prostate,172,Sewage plant attendants,21,21.68295,96.85029,59.95171,148.0458,28.71046,73.14407,45.27723,111.8084
21369,121,Bronchopneumonia,12,"Vocational Trainers, Social Scientists etc.",45,46.46711,96.84269,70.6377,129.583,56.49904,79.64737,58.09532,106.5744
16421,93,Pulmonary embolism and phlebitis,142,Other Electrical/Electronic Trades nes,34,35.10973,96.83925,67.06403,135.3232,36.93552,92.05232,63.74894,128.6339
9452,54,Myeloma,41,General and office managers,51,52.66692,96.83497,72.01446,127.3201,42.83529,119.0607,88.54334,156.5429
7030,39,Cancer of the prostate,170,Rail Construction & Maintenance Workers,27,27.88403,96.82963,63.81144,140.8821,32.33413,83.50309,55.02915,121.4927
16244,92,Ischaemic heart disease,146,"Metal Plate Workers, Shipwrights, Riveters",815,841.6979,96.82809,90.29388,103.7103,843.7065,96.59757,90.07893,103.4634
41128,999,Unspecified Group,42,Butchers,283,292.2754,96.82648,85.8715,108.7906,291.6679,97.02815,86.05035,109.0172
9464,54,Myeloma,53,Office Workers and Cashiers,235,242.7024,96.82642,84.8392,110.0309,207.2068,113.4133,99.3726,128.8797
16019,91,Hypertensive disease,97,Printers,24,24.79313,96.80102,62.02243,144.0323,25.58193,93.81622,60.11001,139.5911
21465,121,Bronchopneumonia,114,Smiths & Forge Workers,29,29.96036,96.79455,64.82498,139.013,30.94525,93.71389,62.76181,134.5887
25250,142,Duodenal ulcer,97,Printers,17,17.56534,96.7815,56.37864,154.9563,18.62859,91.25759,53.16077,146.112
16172,92,Ischaemic heart disease,64,Undertakers,118,121.9358,96.77225,80.09055,115.895,120.6553,97.79925,80.94051,117.1249
5154,29,Cancer of soft tissue,88,Other coal miners,16,16.53458,96.76688,55.31074,157.1434,19.52731,81.93654,46.8339,133.0598
4139,23,Cancer of the larynx,175,"Face Trained Coalmining Workers, Shotfireres & Deputies",7,7.234509,96.75846,38.90243,199.3598,7.109112,98.46518,39.58863,202.8763
2593,15,Cancer of the colon,60,Other Service Personnel,359,371.0663,96.74821,86.99728,107.2925,447.0831,80.29828,72.20529,89.04974
21663,122,Unspecified pneumonia,133,"Motor Mechanics, Auto Engineers (including road patrol engi",44,45.48036,96.74506,70.29518,129.8756,46.74189,94.13399,68.39796,126.3704
2817,16,Cancer of the rectum,108,Woodworking Machine Operatives,21,21.7163,96.70158,59.85966,147.8185,21.58884,97.27248,60.21305,148.6912
2661,15,Cancer of the colon,137,"Electricians, Electrical Maintenance Fitters",205,212.0042,96.69617,83.90848,110.8792,223.1926,91.84892,79.70226,105.3209
4472,25,Cancer of the pleura,139,Telephone Fitters,6,6.205673,96.68572,35.48205,210.4445,4.324984,138.7289,50.91117,301.9549
21485,121,Bronchopneumonia,137,"Electricians, Electrical Maintenance Fitters",239,247.2593,96.65966,84.79041,109.7235,255.5835,93.51152,82.02884,106.1499
2051,12,Cancer of oesophagus,61,Hospital Porters and Ward Orderlies,51,52.76576,96.65359,71.87957,127.0816,56.16162,90.80934,67.5333,119.3975
5609,31,Other cancer of skin,198,Other Labourers,31,32.07892,96.63667,65.65994,137.168,26.96862,114.9484,78.10188,163.16
16194,92,Ischaemic heart disease,87,Synthetic Fibre Makers,42,43.46924,96.62006,69.63522,130.6022,43.8925,95.68833,68.96372,129.3428
7781,43,Urothelial cancer,198,Other Labourers,448,463.679,96.61858,87.87751,105.9936,550.3967,81.39584,74.03197,89.29375
25218,142,Duodenal ulcer,60,Other Service Personnel,87,90.04754,96.61563,77.38512,119.175,77.75107,111.8956,89.62372,138.0228
25348,143,Peptic ulcer,9,Other Administrators,22,22.7736,96.6031,60.54072,146.2584,23.57068,93.3363,58.49343,141.3124
24737,139,Fibrosing alveolitis,129,"Tool Makers, Tool Fitters & Markers-Out",15,15.52817,96.59864,54.06562,159.3246,16.16393,92.79922,51.93911,153.0581
22247,125,Asthma,183,Lorry drivers,51,52.79605,96.59813,71.83833,127.0087,55.94684,91.15796,67.79256,119.8559
17778,101,Other cardiomyopathies,41,General and office managers,32,33.13294,96.58062,66.06115,136.3432,28.52633,112.1771,76.72913,158.3607
25274,142,Duodenal ulcer,123,Machine Tool Setter Operators,20,20.71167,96.5639,58.98365,149.1352,20.10204,99.49237,60.77243,153.658
21495,121,Bronchopneumonia,148,"Scaffolders, Stagers, Steeplejacks, Riggers",49,50.74531,96.56065,71.43616,127.6583,47.57889,102.9869,76.19031,136.1541
16438,93,Pulmonary embolism and phlebitis,165,"Bricklayers, Masons",56,58.00009,96.55158,72.93403,125.3803,61.1846,91.5263,69.13799,118.8546
16214,92,Ischaemic heart disease,112,Furnace Operatives (metal),287,297.2727,96.54434,85.69543,108.3853,298.0314,96.29858,85.47729,108.1094
16247,92,Ischaemic heart disease,149,Welding Trades,1713,1774.389,96.54025,92.02222,101.2227,1778.46,96.31928,91.81159,100.991
28951,162,Urinary infections,190,Storekeepers & warehousemen/women,31,32.11173,96.53794,65.59286,137.0278,32.56365,95.19817,64.68255,135.1261
24509,138,Pulmonary fibrosis,75,Chemical workers,10,10.35906,96.53382,46.29183,177.5296,9.611714,104.0397,49.89121,191.3332
16257,92,Ischaemic heart disease,165,"Bricklayers, Masons",1929,1998.342,96.53003,92.26996,100.9359,2003.047,96.30328,92.05322,100.6989
41117,999,Unspecified Group,31,Draughtspersons,233,241.3981,96.52108,84.52216,109.7439,239.617,97.23852,85.15041,110.5596
32258,181,Motor vehicle traffic accidents,41,General and office managers,17,17.61375,96.5155,56.22368,154.5304,16.61124,102.3403,59.61686,163.8565
16141,92,Ischaemic heart disease,33,Architects and Surveyors,1115,1155.295,96.51212,90.92981,102.3475,1163.959,95.79375,90.25298,101.5857
3301,19,Cancer of the pancreas,44,Retailers and Dealers,114,118.1295,96.50427,79.59303,115.9363,107.8773,105.6756,87.1572,126.9544
16174,92,Ischaemic heart disease,66,Fishing & Related Workers,178,184.4787,96.48809,82.82921,111.7528,186.3439,95.52229,82.00012,110.6342
15942,91,Hypertensive disease,15,Doctors,10,10.36415,96.48643,46.2691,177.4424,10.5734,94.57699,45.35345,173.9309
21998,124,Chronic bronchitis and emphysema,103,Other workers with fabrics,22,22.80496,96.47026,60.45747,146.0573,21.12938,104.1204,65.2518,157.6398
27322,153,Diverticular disease,190,Storekeepers & warehousemen/women,26,26.95202,96.46773,63.01606,141.3475,28.6758,90.6688,59.228,132.8507
41201,999,Unspecified Group,122,"Centre, Capstan, Turret & Other Lathe Setters & Setter-Oper",160,165.8591,96.4674,82.09329,112.6296,165.8361,96.48078,82.10468,112.6452
9964,57,Chronic lymphatic leukaemia,10,Teachers in Higher Education,10,10.36628,96.46666,46.25962,177.406,7.713538,129.6422,62.16862,238.4172
8505,47,Meningeal tumour,198,Other Labourers,13,13.47701,96.46056,51.36154,164.9505,12.89261,100.833,53.68969,172.4275
2657,15,Cancer of the colon,132,Production fitters,510,528.793,96.44606,88.25613,105.1914,556.663,91.61736,83.83747,99.92484
9645,55,All leukaemias,53,Office Workers and Cashiers,12,12.44242,96.44426,49.83435,168.4688,8.936819,134.276,69.38263,234.5533
18062,102,Atrial fibrillation,160,Painters & Decorators,17,17.6285,96.43475,56.17665,154.4011,18.29491,92.922,54.13034,148.7769
19005,108,Peripheral valve disease,1,Lawyers,7,7.259663,96.42321,38.76764,198.669,10.45201,66.97276,26.92688,137.9897
17634,100,Aortic valve disorders,78,"Other Food, Drink & Tobacco Process Operatives nes",12,12.44823,96.39922,49.81108,168.3902,12.70827,94.42667,48.79184,164.9445
6956,39,Cancer of the prostate,79,Paper manufacturers,31,32.15965,96.3941,65.49512,136.8236,33.5333,92.44542,62.81219,131.2188
8174,46,Cancer of the brain,30,Other Professional Engineers,110,114.1183,96.39123,79.20999,116.1831,61.85432,177.8372,146.1387,214.3523
7956,44,Cancer of the kidney (except pelvis),191,Dockers and Goods Porters,29,30.08784,96.38445,64.55033,138.424,40.04675,72.41536,48.49782,104.0005
28637,161,Renal failure,40,"Managers in Transport, Mining and Energy Industries",31,32.16374,96.38184,65.48679,136.8062,29.93464,103.559,70.3633,146.9936
732,5,Septicaemia,9,Other Administrators,59,61.21585,96.38027,73.36908,129.2242,52.66074,112.0379,85.2884,150.2176
13531,77,Dementia,148,"Scaffolders, Stagers, Steeplejacks, Riggers",8,8.300848,96.37569,41.6078,189.8987,8.827718,90.62365,39.12449,178.5648
22034,124,Chronic bronchitis and emphysema,144,"Plumbers, Heating & Ventilating Engineers & Related Trades",500,518.9625,96.34608,88.08503,105.1731,478.5458,104.4832,95.52445,114.0557
6962,39,Cancer of the prostate,85,Rubber Manufacturers,40,41.5296,96.31685,68.8102,131.1561,43.29208,92.39565,66.00883,125.8165
16062,91,Hypertensive disease,145,Sheet Metal Workers,16,16.61237,96.31378,55.05175,156.4076,17.13275,93.3884,53.37964,151.6569
7056,39,Cancer of the prostate,197,Other Transport and Machine Operatives,174,180.7011,96.29162,82.51066,111.7123,209.4222,83.08573,71.19476,96.39158
2274,13,Cancer of the stomach,108,Woodworking Machine Operatives,34,35.31168,96.28543,66.6805,134.5493,32.97063,103.1221,71.41507,144.1028
17958,102,Atrial fibrillation,40,"Managers in Transport, Mining and Energy Industries",13,13.50427,96.26588,51.25788,164.6176,13.64552,95.26933,50.72725,162.9135
17885,101,Other cardiomyopathies,164,"Packers, Sorters and Testers",27,28.04735,96.26578,63.43986,140.0617,31.90796,84.61837,55.76413,123.1153
15863,90,Chronic rheumatic heart disease,124,Machine Tool Operatives (including CNC machine tool operati,41,42.59067,96.26521,69.08156,130.5946,41.84046,97.99128,70.32021,132.9362
7040,39,Cancer of the prostate,180,Railway engine drivers,87,90.37744,96.26296,77.10265,118.74,94.22603,92.33118,73.95345,113.8902
18870,107,Other aneurysm,47,Farmers,13,13.5048,96.26204,51.25583,164.6111,14.33204,90.70586,48.29738,155.1098
4235,24,Cancer of the bronchus,73,"Warp Preparers, Bleachers, dyers & finishers",93,96.61179,96.26154,77.69549,117.9269,89.06885,104.4136,84.27525,127.9137
18720,106,Aortic aneurysm,78,"Other Food, Drink & Tobacco Process Operatives nes",80,83.10866,96.25953,76.32779,119.8033,91.16726,87.75079,69.58089,109.2134
41097,999,Unspecified Group,11,School Teachers,466,484.1099,96.25912,87.71653,105.4087,487.3838,95.61254,87.12732,104.7007
16265,92,Ischaemic heart disease,174,Other Construction Workers,3704,3848.645,96.24166,93.1669,99.39191,3959.341,93.55092,90.56212,96.61309
21576,122,Unspecified pneumonia,38,Production and maintenance managers,73,75.85315,96.23859,75.43563,121.0055,89.1614,81.87399,64.17609,102.9442
2288,13,Cancer of the stomach,124,Machine Tool Operatives (including CNC machine tool operati,448,465.5146,96.23758,87.53098,105.5756,422.099,106.1362,96.53412,116.4347
16287,92,Ischaemic heart disease,197,Other Transport and Machine Operatives,1859,1932.257,96.20872,91.88455,100.6838,1949.122,95.37625,91.08949,99.81258
19149,108,Peripheral valve disease,161,Assemblers/Lineworkers (electrical/electronic goods),7,7.276343,96.20217,38.67877,198.2136,6.637923,105.4547,42.3988,217.2773
18530,105,Other cerebrovascular disease,69,Preparatory Fibre Processors,14,14.55345,96.19709,52.59164,161.4022,14.57489,96.0556,52.51428,161.1648
16243,92,Ischaemic heart disease,145,Sheet Metal Workers,893,928.6978,96.15614,89.95235,102.6752,930.8427,95.93458,89.74508,102.4386
11640,67,Diabetes,57,Sales Representatives,110,114.4003,96.15362,79.01473,115.8967,106.7731,103.0222,84.65905,124.1757
22025,124,Chronic bronchitis and emphysema,133,"Motor Mechanics, Auto Engineers (including road patrol engi",447,464.902,96.14929,87.44119,105.4897,427.3782,104.5912,95.11853,114.7517
9058,52,Non-Hodgkin's lymphoma,9,Other Administrators,317,329.7045,96.14671,85.85178,107.3354,255.808,123.9211,110.6522,138.3419
9056,52,Non-Hodgkin's lymphoma,7,Government Inspectors,9,9.361411,96.13936,43.96132,182.5024,7.252469,124.0957,56.74482,235.5722
5192,29,Cancer of soft tissue,133,"Motor Mechanics, Auto Engineers (including road patrol engi",7,7.281218,96.13776,38.65287,198.0809,7.718493,90.69128,36.46308,186.859
